City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
235,pamanukan,-6.2842,107.8106,78.65600000000003,88,28,2.31,ID,2023-04-22 13:07:48
236,zambezi,-13.5432,23.1047,71.00600000000003,77,91,0.88,ZM,2023-04-22 13:07:48
237,manzhouli,49.6,117.4333,26.78000000000004,25,8,1.25,CN,2023-04-22 13:07:48
238,kerikeri,-35.2268,173.9474,62.906000000000034,96,87,0.89,NZ,2023-04-22 13:07:31
239,morehead city,34.7229,-76.726,77.03600000000007,75,0,6.71,US,2023-04-22 13:07:49
240,the pas,53.8251,-101.2541,38.87600000000009,46,36,3.69,CA,2023-04-22 13:07:49
241,san ignacio de velasco,-16.3667,-60.95,83.60600000000002,59,6,1.46,BO,2023-04-22 13:07:49
242,afaahiti,-17.75,-149.2833,78.674,80,100,5.77,PF,2023-04-22 13:07:39
243,cam ranh,11.9214,109.1591,82.36400000000003,78,40,2.06,VN,2023-04-22 13:07:49
244,harper,4.375,-7.7169,83.69600000000005,76,25,5.12,LR,2023-04-22 13:07:50
245,santa vitoria,-18.8386,-50.1214,75.63200000000002,79,88,2.48,BR,2023-04-22 13:05:54
246,las heras,-46.5419,-68.9359,63.30200000000008,18,5,12.75,AR,2023-04-22 13:07:50
247,yima,34.7381,111.8839,34.32200000000004,99,100,1.4,CN,2023-04-22 13:07:50
248,otofuke,42.9917,143.2003,36.48200000000001,68,1,3.82,JP,2023-04-22 13:07:51
249,happy valley-goose bay,53.3168,-60.3315,39.50600000000003,81,75,4.63,CA,2023-04-22 13:04:38
250,palmer,42.1584,-72.3287,65.2100000000001,51,100,5.84,US,2023-04-22 13:07:51
251,la paz,-16.5,-68.15,67.5680000000001,19,2,2.24,BO,2023-04-22 13:07:52
252,howard springs,-12.497,131.047,78.7100000000001,87,34,3.25,AU,2023-04-22 13:07:52
253,jamestown,42.097,-79.2353,47.01200000000006,97,100,7.2,US,2023-04-22 13:07:49
254,kulhudhuffushi,6.6221,73.07,85.04600000000005,73,100,3.51,MV,2023-04-22 13:07:52
255,inarajan village,13.2736,144.7484,81.57200000000003,91,91,8.15,GU,2023-04-22 13:07:53
256,petropavlovsk-kamchatsky,53.0452,158.6483,30.32600000000009,97,100,3.39,RU,2023-04-22 13:07:53
257,flin flon,54.7682,-101.865,36.44600000000005,57,48,3.79,CA,2023-04-22 13:06:44
258,cape town,-33.9258,18.4232,59.108000000000004,89,100,10.29,ZA,2023-04-22 12:56:32
